date,region,hospitalized_with_symptoms,intensive_therapy,total_hospitalized,domestic_isolation,total_positive,new_positive,recovered,deaths,total_cases
2020-02-24 18:00:00,Abruzzo,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Basilicata,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Calabria,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Campania,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Emilia-Romagna,10,2,12,6,18,18,0,0,18
2020-02-24 18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Lazio,1,1,2,0,2,2,1,0,3
2020-02-24 18:00:00,Liguria,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Lombardia,76,19,95,71,166,166,0,6,172
2020-02-24 18:00:00,Marche,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Molise,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,P.A. Bolzano,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Piemonte,2,0,2,1,3,3,0,0,3
2020-02-24 18:00:00,Puglia,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Sardegna,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Sicilia,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Toscana,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Umbria,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,0
2020-02-24 18:00:00,Veneto,12,4,16,16,32,32,0,1,33
2020-02-25 18:00:00,Abruzzo,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Basilicata,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Calabria,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Campania,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Emilia-Romagna,15,2,17,9,26,8,0,0,26
2020-02-25 18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Lazio,1,1,2,0,2,0,1,0,3
2020-02-25 18:00:00,Liguria,1,0,1,0,1,1,0,0,1
2020-02-25 18:00:00,Lombardia,79,25,104,127,231,68,0,9,240
2020-02-25 18:00:00,Marche,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Molise,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,P.A. Bolzano,1,0,1,0,1,1,0,0,1
2020-02-25 18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Piemonte,2,0,2,1,3,0,0,0,3
2020-02-25 18:00:00,Puglia,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Sardegna,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Sicilia,1,0,1,2,3,3,0,0,3
2020-02-25 18:00:00,Toscana,2,0,2,0,2,2,0,0,2
2020-02-25 18:00:00,Umbria,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,Veneto,12,7,19,23,42,10,0,1,43
2020-02-26 18:00:00,Abruzzo,0,0,0,0,0,0,0,0,0
2020-02-26 18:00:00,Basilicata,0,0,0,0,0,0,0,0,0
2020-02-26 18:00:00,Calabria,0,0,0,0,0,0,0,0,0
2020-02-26 18:00:00,Campania,0,0,0,0,0,0,0,0,0
2020-02-26 18:00:00,Emilia-Romagna,20,3,23,23,46,21,0,1,47
2020-02-26 18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0
2020-02-26 18:00:00,Lazio,0,0,0,0,0,0,3,0,3
